subj,subj_index,stimulation,error
73,1,0,12
73,1,0,2
73,1,0,48
73,1,0,20
73,1,0,-24
73,1,0,108
73,1,0,38
73,1,1,146
73,1,0,-4
73,1,1,-72
73,1,0,70
73,1,0,-26
73,1,1,-16
73,1,1,-54
73,1,1,-42
73,1,1,-132
73,1,0,42
73,1,1,-48
73,1,1,-2
73,1,0,-12
73,1,1,38
73,1,1,-18
73,1,0,-16
73,1,1,108
73,1,1,-130
73,1,0,-28
73,1,1,104
73,1,0,-116
73,1,1,-4
73,1,0,-78
73,1,1,10
73,1,1,70
73,1,0,-8
73,1,1,112
73,1,1,42
73,1,0,-54
73,1,1,-48
73,1,0,-26
73,1,1,-26
73,1,1,40
73,1,1,56
73,1,1,-84
73,1,1,40
73,1,1,-12
73,1,1,-158
73,1,1,118
73,1,0,-16
73,1,1,110
73,1,0,-20
73,1,1,66
73,1,0,8
73,1,0,78
73,1,1,-12
73,1,0,-8
73,1,1,24
73,1,1,20
73,1,1,-38
73,1,0,32
73,1,0,88
73,1,0,84
73,1,1,14
73,1,1,-128
73,1,0,14
73,1,0,-114
73,1,0,16
73,1,0,-28
73,1,0,-36
73,1,0,16
73,1,1,-2
73,1,0,140
73,1,0,-66
73,1,0,-40
73,1,1,12
73,1,0,38
73,1,1,58
73,1,0,-10
73,1,0,-88
73,1,0,-62
73,1,0,156
73,1,0,4
73,1,0,-26
73,1,1,-2
73,1,1,18
73,1,1,120
73,1,0,-10
73,1,1,136
73,1,1,136
73,1,1,-4
73,1,1,6
73,1,1,-22
73,1,1,70
73,1,0,-58
73,1,1,68
73,1,1,-90
73,1,0,52
73,1,1,26
73,1,0,-14
73,1,1,34
73,1,0,38
73,1,0,18
73,1,1,-2
73,1,0,12
73,1,0,-2
73,1,1,-14
73,1,1,46
73,1,0,12
73,1,0,168
73,1,0,92
73,1,0,-164
73,1,1,18
73,1,1,-50
73,1,1,100
73,1,0,-90
73,1,0,-24
73,1,0,-28
73,1,0,-4
73,1,0,10
73,1,0,76
73,1,0,48
73,1,1,158
73,1,1,-180
73,1,0,14
73,1,1,-88
73,1,0,-54
73,1,0,26
73,1,0,6
73,1,0,4
73,1,1,-18
73,1,1,-26
73,1,0,-14
73,1,1,-118
73,1,1,-10
73,1,0,-16
73,1,1,0
73,1,1,14
73,1,1,-72
73,1,1,122
73,1,0,-98
73,1,1,92
73,1,1,74
73,1,0,46
73,1,1,54
73,1,0,60
73,1,1,58
73,1,1,-132
73,1,1,-46
73,1,0,-36
73,1,1,74
73,1,0,-24
73,1,0,18
73,1,1,54
73,1,0,56
73,1,1,10
73,1,0,-80
73,1,1,-164
73,1,1,36
73,1,0,-32
73,1,0,-20
73,1,1,40
73,1,0,-70
73,1,0,36
73,1,1,-178
73,1,0,-2
73,1,1,78
73,1,0,124
73,1,1,30
73,1,1,12
73,1,0,-40
73,1,0,14
73,1,1,-134
73,1,0,42
73,1,0,-18
73,1,1,-62
73,1,0,-96
73,1,0,-152
73,1,1,-74
73,1,1,-38
73,1,0,-4
73,1,1,56
73,1,1,-166
73,1,0,-46
73,1,1,0
73,1,1,-22
73,1,1,-24
73,1,1,-126
73,1,0,-12
73,1,0,-106
73,1,0,14
73,1,0,-26
73,1,1,-68
73,1,0,10
73,1,1,-50
73,1,1,62
73,1,1,-38
73,1,0,24
73,1,1,8
73,1,1,-14
73,1,0,130
73,1,0,-112
73,1,0,20
73,1,0,-56
73,1,0,0
73,1,1,178
73,1,0,10
73,1,1,10
73,1,1,-136
73,1,1,12
73,1,0,-6
73,1,0,126
73,1,0,-18
73,1,0,8
73,1,1,-92
73,1,1,10
73,1,1,80
73,1,1,-76
73,1,0,6
73,1,0,-6
73,1,0,-158
73,1,0,-28
73,1,1,50
73,1,0,24
73,1,1,-144
73,1,0,-136
73,1,0,-28
73,1,1,-16
73,1,1,100
73,1,0,154
73,1,1,-168
73,1,0,-18
73,1,1,-40
73,1,1,-28
73,1,1,8
73,1,0,-8
73,1,1,60
73,1,0,12
73,1,1,-6
73,1,0,82
73,1,0,8
73,1,1,64
73,1,0,40
73,1,0,-16
73,1,1,-42
73,1,1,-56
73,1,0,6
73,1,1,16
73,1,1,68
73,1,1,22
73,1,1,-26
73,1,0,-38
73,1,0,-8
73,1,0,8
73,1,1,-14
74,2,1,0
74,2,1,-92
74,2,1,36
74,2,0,-64
74,2,0,0
74,2,0,-30
74,2,1,-4
74,2,1,-2
74,2,0,-44
74,2,1,14
74,2,1,108
74,2,0,42
74,2,0,96
74,2,1,10
74,2,1,-20
74,2,1,38
74,2,0,-8
74,2,0,-20
74,2,0,-112
74,2,1,120
74,2,1,-24
74,2,0,22
74,2,1,-136
74,2,1,-18
74,2,1,2
74,2,0,20
74,2,1,116
74,2,0,-36
74,2,1,16
74,2,0,6
74,2,0,148
74,2,0,24
74,2,0,172
74,2,0,160
74,2,1,-12
74,2,0,-10
74,2,0,-24
74,2,0,106
74,2,0,28
74,2,1,-42
74,2,0,144
74,2,1,-176
74,2,1,-44
74,2,0,-4
74,2,0,-62
74,2,1,60
74,2,1,24
74,2,0,28
74,2,1,-52
74,2,0,66
74,2,0,140
74,2,1,-40
74,2,0,142
74,2,1,-90
74,2,1,110
74,2,0,74
74,2,0,4
74,2,1,128
74,2,1,44
74,2,0,170
74,2,1,72
74,2,1,0
74,2,0,-60
74,2,1,92
74,2,1,-118
74,2,0,-56
74,2,0,-50
74,2,0,-178
74,2,0,18
74,2,1,8
74,2,1,34
74,2,1,12
74,2,1,106
74,2,0,20
74,2,1,-26
74,2,0,-128
74,2,1,104
74,2,0,-70
74,2,0,-98
74,2,0,154
74,2,1,116
74,2,0,-14
74,2,1,-22
74,2,1,110
74,2,1,44
74,2,0,24
74,2,1,-28
74,2,1,96
74,2,0,96
74,2,1,-58
74,2,1,-130
74,2,1,-80
74,2,0,102
74,2,0,36
74,2,0,4
74,2,0,12
74,2,0,-104
74,2,1,-10
74,2,1,8
74,2,1,20
74,2,1,-24
74,2,1,-152
74,2,0,-6
74,2,0,18
74,2,0,-100
74,2,0,-18
74,2,1,168
74,2,0,6
74,2,1,42
74,2,0,78
74,2,1,22
74,2,1,-110
74,2,0,-76
74,2,0,118
74,2,1,100
74,2,1,-82
74,2,0,-40
74,2,1,-94
74,2,1,150
74,2,0,-118
74,2,1,30
74,2,0,22
74,2,0,6
74,2,0,136
74,2,1,36
74,2,0,104
74,2,1,14
74,2,0,-30
74,2,1,-156
74,2,0,-98
74,2,0,-160
74,2,0,-132
74,2,0,128
74,2,1,160
74,2,1,144
74,2,0,-74
74,2,1,-134
74,2,0,122
74,2,1,-10
74,2,1,-118
74,2,0,-14
74,2,1,-32
74,2,0,16
74,2,1,2
74,2,1,44
74,2,0,-6
74,2,0,12
74,2,0,-30
74,2,0,18
74,2,0,-2
74,2,1,20
74,2,1,-10
74,2,0,0
74,2,1,-26
74,2,0,-24
74,2,1,-28
74,2,0,10
74,2,1,8
74,2,1,146
74,2,1,18
74,2,1,-2
74,2,0,-162
74,2,0,-118
74,2,1,2
74,2,0,70
74,2,1,40
74,2,0,16
74,2,0,-42
74,2,0,20
74,2,1,68
74,2,0,2
74,2,1,-22
74,2,1,-160
74,2,1,-46
74,2,1,4
74,2,1,-28
74,2,0,-120
74,2,0,-10
74,2,1,132
74,2,0,86
74,2,0,6
74,2,0,16
74,2,1,34
74,2,1,-136
74,2,1,4
74,2,1,-18
74,2,0,150
74,2,0,22
74,2,1,-60
74,2,0,-44
74,2,0,170
74,2,1,6
74,2,0,-54
74,2,0,118
74,2,1,-114
74,2,1,104
74,2,0,-46
74,2,0,-2
74,2,0,-150
74,2,1,62
74,2,1,78
74,2,1,-138
74,2,1,0
74,2,1,20
74,2,0,4
74,2,0,126
74,2,1,0
74,2,1,-16
74,2,0,2
74,2,0,22
74,2,0,-48
74,2,1,-28
74,2,1,-94
74,2,1,-148
74,2,0,-142
74,2,0,24
74,2,1,-176
74,2,1,-28
74,2,0,-52
74,2,0,-120
74,2,0,-148
74,2,0,50
74,2,0,-158
74,2,0,-8
74,2,0,-80
74,2,1,2
74,2,0,-74
74,2,1,-140
74,2,1,12
74,2,0,-52
74,2,1,16
74,2,0,10
74,2,1,-12
74,2,0,16
74,2,0,-2
74,2,1,-158
74,2,1,-168
74,2,0,4
74,2,1,-38
74,2,0,6
74,2,0,-14
74,2,1,-36
74,2,1,22
74,2,1,96
74,2,1,-42
74,2,0,-32
74,2,1,40
74,2,0,134
74,2,1,-102
74,2,1,-104
74,2,1,66
74,2,0,10
